track_id,condition,split
C1264,control,train
C317,control,train
C229,control,train
C259,control,train
C769,control,train
C276,control,train
C944,control,train
C1476,control,train
C1270,control,train
C456,control,train
C1254,control,train
C313,control,train
C829,control,train
C334,control,train
C523,control,train
C863,control,train
C34,control,train
C07,control,train
C1607,control,train
C1955,control,train
C1229,control,train
C682,control,train
C359,control,train
C1372,control,train
C1793,control,train
C1346,control,train
C1941,control,train
C564,control,train
C967,control,train
C1680,control,train
C1057,control,train
C577,control,train
C754,control,train
C742,control,train
C324,control,train
C1621,control,train
C1387,control,train
C1807,control,train
C124,control,train
C1585,control,train
C446,control,train
C1069,control,train
C1171,control,train
C1620,control,train
C637,control,train
C505,control,train
C1067,control,train
C1344,control,train
C430,control,train
C1727,control,train
C1530,control,train
C119,control,train
C173,control,train
C462,control,train
C1236,control,train
C1743,control,train
C1233,control,train
C1957,control,train
C1944,control,train
C728,control,train
C321,control,train
C1801,control,train
C491,control,train
C1990,control,train
C230,control,train
C404,control,train
C1075,control,train
C921,control,train
C693,control,train
C736,control,train
C745,control,train
C221,control,train
C447,control,train
C1448,control,train
C1732,control,train
C804,control,train
C45,control,train
C95,control,train
C1415,control,train
C901,control,train
C840,control,train
C1453,control,train
C110,control,train
C1987,control,train
C1130,control,train
C389,control,train
C356,control,train
C1209,control,train
C1379,control,train
C1887,control,train
C953,control,train
C271,control,train
C1794,control,train
C1927,control,train
C1518,control,train
C803,control,train
C1792,control,train
C1225,control,train
C21,control,train
C1716,control,train
C1535,control,train
C1721,control,train
C1684,control,train
C1294,control,train
C838,control,train
C999,control,train
C596,control,train
C1865,control,train
C1186,control,train
C346,control,train
C1274,control,train
C159,control,train
C1367,control,train
C304,control,train
C1974,control,train
C1334,control,train
C85,control,train
C537,control,train
C30,control,train
C685,control,train
C860,control,train
C1833,control,train
C737,control,train
C636,control,train
C836,control,train
C1948,control,train
C907,control,train
C1271,control,train
C971,control,train
C1630,control,train
C1697,control,train
C1239,control,train
C739,control,train
C1552,control,train
C472,control,train
C519,control,train
C1537,control,train
C1316,control,train
C1495,control,train
C709,control,train
C1963,control,train
C1045,control,train
C508,control,train
C323,control,train
C753,control,train
C894,control,train
C1049,control,train
C1866,control,train
C650,control,train
C1647,control,train
C1713,control,train
C763,control,train
C247,control,train
C821,control,train
C674,control,train
C1931,control,train
C1243,control,train
C1020,control,train
C402,control,train
C1336,control,train
C1997,control,train
C222,control,train
C990,control,train
C1551,control,train
C303,control,train
C686,control,train
C1107,control,train
C16,control,train
C729,control,train
C1259,control,train
C1553,control,train
C879,control,train
C1397,control,train
C659,control,train
C601,control,train
C634,control,train
C1114,control,train
C1626,control,train
C177,control,train
C1142,control,train
C1689,control,train
C741,control,train
C175,control,train
C1666,control,train
C959,control,train
C1039,control,train
C1527,control,train
C808,control,train
C1224,control,train
C980,control,train
C49,control,train
C305,control,train
C1474,control,train
C1819,control,train
C154,control,train
C1718,control,train
C1977,control,train
C32,control,train
C69,control,train
C834,control,train
C1904,control,train
C1484,control,train
C454,control,train
C142,control,train
C566,control,train
C1400,control,train
C1662,control,train
C1221,control,train
C22,control,train
C1388,control,train
C992,control,train
C639,control,train
C1174,control,train
C1172,control,train
C793,control,train
C461,control,train
C301,control,train
C332,control,train
C1587,control,train
C1027,control,train
C1962,control,train
C1024,control,train
C1073,control,train
C200,control,train
C1006,control,train
C300,control,train
C171,control,train
C1738,control,train
C1774,control,train
C425,control,train
C231,control,train
C1137,control,train
C1628,control,train
C23,control,train
C946,control,train
C1939,control,train
C1749,control,train
C320,control,train
C1473,control,train
C1014,control,train
C872,control,train
C565,control,train
C1190,control,train
C84,control,train
C1280,control,train
C507,control,train
C1472,control,train
C272,control,train
C889,control,train
C1949,control,train
C1055,control,train
C1255,control,train
C1600,control,train
C1446,control,train
C54,control,train
C476,control,train
C1265,control,train
C572,control,train
C1361,control,train
C1994,control,train
C1563,control,train
C1937,control,train
C344,control,train
C1989,control,train
C1140,control,train
C1811,control,train
C833,control,train
C1975,control,train
C554,control,train
C182,control,train
C586,control,train
C700,control,train
C211,control,train
C1462,control,train
C1627,control,train
C1539,control,train
C1353,control,train
C194,control,train
C255,control,train
C1173,control,train
C213,control,train
C1764,control,train
C70,control,train
C987,control,train
C1152,control,train
C1036,control,train
C1184,control,train
C60,control,train
C605,control,train
C1470,control,train
C109,control,train
C1189,control,train
C1763,control,train
C257,control,train
C1111,control,train
C1408,control,train
C1441,control,train
C206,control,train
C503,control,train
C713,control,train
C1641,control,train
C1926,control,train
C1376,control,train
C1050,control,train
C1080,control,train
C1357,control,train
C1842,control,train
C1946,control,train
C929,control,train
C1426,control,train
C1436,control,train
C645,control,train
C1401,control,train
C1018,control,train
C692,control,train
C403,control,train
C1802,control,train
C544,control,train
C308,control,train
C1023,control,train
C1487,control,train
C411,control,train
C663,control,train
C1940,control,train
C1525,control,train
C232,control,train
C1710,control,train
C1311,control,train
C1156,control,train
C475,control,train
C71,control,train
C1996,control,train
C1450,control,train
C1665,control,train
C587,control,train
C795,control,train
C1817,control,train
C1873,control,train
C1771,control,train
C956,control,train
C19,control,train
C363,control,train
C1872,control,train
C1924,control,train
C1818,control,train
C1352,control,train
C1428,control,train
C1056,control,train
C337,control,train
C1907,control,train
C1058,control,train
C1201,control,train
C1876,control,train
C714,control,train
C134,control,train
C1805,control,train
C1124,control,train
C1728,control,train
C726,control,train
C1214,control,train
C468,control,train
C515,control,train
C771,control,train
C696,control,train
C274,control,train
C1423,control,train
C976,control,train
C516,control,train
C835,control,train
C1953,control,train
C357,control,train
C715,control,train
C299,control,train
C558,control,train
C89,control,train
C1079,control,train
C892,control,train
C1555,control,train
C1260,control,train
C1973,control,train
C369,control,train
C1598,control,train
C871,control,train
C381,control,train
C1347,control,train
C850,control,train
C782,control,train
C1385,control,train
C1249,control,train
C1681,control,train
C1003,control,train
C379,control,train
C1471,control,train
C1790,control,train
C1795,control,train
C189,control,train
C625,control,train
C1622,control,train
C1618,control,train
C922,control,train
C770,control,train
C139,control,train
C1328,control,train
C1667,control,train
C170,control,train
C336,control,train
C1051,control,train
C342,control,train
C1914,control,train
C1768,control,train
C445,control,train
C371,control,train
C2000,control,train
C661,control,train
C1603,control,train
C547,control,train
C1672,control,train
C1824,control,train
C1406,control,train
C598,control,train
C585,control,train
C660,control,train
C640,control,train
C926,control,train
C469,control,train
C155,control,train
C536,control,train
C1202,control,train
C1894,control,train
C1425,control,train
C198,control,train
C580,control,train
C258,control,train
C1404,control,train
C410,control,train
C1163,control,train
C1508,control,train
C810,control,train
C1314,control,train
C1094,control,train
C1960,control,train
C149,control,train
C190,control,train
C431,control,train
C279,control,train
C1420,control,train
C409,control,train
C794,control,train
C1588,control,train
C1722,control,train
C108,control,train
C1850,control,train
C582,control,train
C490,control,train
C1595,control,train
C788,control,train
C571,control,train
C1430,control,train
C1770,control,train
C1855,control,train
C1670,control,train
C1442,control,train
C1978,control,train
C131,control,train
C1993,control,train
C1454,control,train
C1394,control,train
C521,control,train
C1720,control,train
C1888,control,train
C655,control,train
C1651,control,train
C252,control,train
C1300,control,train
C1395,control,train
C1678,control,train
C1961,control,train
C1726,control,train
C1204,control,train
C1466,control,train
C1582,control,train
C854,control,train
C1566,control,train
C1434,control,train
C180,control,train
C900,control,train
C917,control,train
C824,control,train
C306,control,train
C939,control,train
C1498,control,train
C941,control,train
C377,control,train
C905,control,train
C1593,control,train
C1197,control,train
C1650,control,train
C04,control,train
C648,control,train
C1549,control,train
C927,control,train
C1048,control,train
C823,control,train
C235,control,train
C607,control,train
C1597,control,train
C1198,control,train
C297,control,train
C1868,control,train
C1326,control,train
C1208,control,train
C882,control,train
C284,control,train
C539,control,train
C1009,control,train
C1701,control,train
C1283,control,train
C955,control,train
C1363,control,train
C569,control,train
C920,control,train
C802,control,train
C963,control,train
C1093,control,train
C830,control,train
C20,control,train
C24,control,train
C1099,control,train
C33,control,train
C828,control,train
C1564,control,train
C1161,control,train
C1773,control,train
C832,control,train
C80,control,train
C1942,control,train
C1890,control,train
C589,control,train
C1066,control,train
C196,control,train
C1092,control,train
C1282,control,train
C1330,control,train
C984,control,train
C983,control,train
C1854,control,train
C1570,control,train
C464,control,train
C1157,control,train
C717,control,train
C1146,control,train
C1735,control,train
C1285,control,train
C1916,control,train
C1419,control,train
C1699,control,train
C1812,control,train
C424,control,train
C143,control,train
C718,control,train
C1523,control,train
C1141,control,train
C878,control,train
C1571,control,train
C1041,control,train
C594,control,train
C1309,control,train
C443,control,train
C1501,control,train
C781,control,train
C1810,control,train
C1240,control,train
C126,control,train
C1576,control,train
C316,control,train
C707,control,train
C1403,control,train
C1138,control,train
C567,control,train
C866,control,train
C1765,control,train
C968,control,train
C1325,control,train
C243,control,train
C1862,control,train
C502,control,train
C670,control,train
C1455,control,train
C1752,control,train
C1976,control,train
C864,control,train
C1909,control,train
C1889,control,train
C1026,control,train
C723,control,train
C1591,control,train
C09,control,train
C1100,control,train
C861,control,train
C1860,control,train
C1429,control,train
C691,control,train
C473,control,train
C653,control,train
C318,control,train
C644,control,train
C282,control,train
C1129,control,train
C188,control,train
C484,control,train
C413,control,train
C1113,control,train
C656,control,train
C1691,control,train
C1118,control,train
C36,control,train
C749,control,train
C1319,control,train
C1968,control,train
C1480,control,train
C199,control,train
C1784,control,train
C1550,control,train
C902,control,train
C1541,control,train
C556,control,train
C216,control,train
C914,control,train
C1900,control,train
C1082,control,train
C1242,control,train
C395,control,train
C1492,control,train
C1181,control,train
C1880,control,train
C421,control,train
C1886,control,train
C1871,control,train
C809,control,train
C27,control,train
C161,control,train
C156,control,train
C1117,control,train
C1413,control,train
C1936,control,train
C1016,control,train
C1935,control,train
C331,control,train
C1071,control,train
C78,control,train
C1782,control,train
C733,control,train
C512,control,train
C1054,control,train
C1227,control,train
C482,control,train
C762,control,train
C1310,control,train
C1750,control,train
C127,control,train
C1853,control,train
C947,control,train
C478,control,train
C602,control,train
C1374,control,train
C444,control,train
C818,control,train
C290,control,train
C1008,control,train
C948,control,train
C341,control,train
C463,control,train
C712,control,train
C1609,control,train
C1821,control,train
C1231,control,train
C1220,control,train
C991,control,train
C1548,control,train
C913,control,train
C895,control,train
C767,control,train
C1327,control,train
C1711,control,train
C117,control,train
C1303,control,train
C747,control,train
C1809,control,train
C1390,control,train
C283,control,train
C624,control,train
C1685,control,train
C886,control,train
C647,control,train
C12,control,train
C608,control,train
C1030,control,train
C1293,control,train
C1762,control,train
C1032,control,train
C1934,control,train
C1295,control,train
C1065,control,train
C1911,control,train
C919,control,train
C1422,control,train
C217,control,train
C934,control,train
C73,control,train
C03,control,train
C1965,control,train
C146,control,train
C294,control,train
C1194,control,train
C494,control,train
C702,control,train
C874,control,train
C1091,control,train
C35,control,train
C837,control,train
C1857,control,train
C684,control,train
C1444,control,train
C1899,control,train
C578,control,train
C1920,control,train
C1814,control,train
C880,control,train
C1193,control,train
C610,control,train
C716,control,train
C1714,control,train
C262,control,train
C1386,control,train
C499,control,train
C1085,control,train
C1659,control,train
C136,control,train
C1289,control,train
C1767,control,train
C1090,control,train
C428,control,train
C214,control,train
C1929,control,train
C1615,control,train
C401,control,train
C1532,control,train
C1779,control,train
C1712,control,train
C1695,control,train
C1228,control,train
C1165,control,train
C599,control,train
C606,control,train
C780,control,train
C555,control,train
C1359,control,train
C153,control,train
C1702,control,train
C1488,control,train
C1938,control,train
C41,control,train
C1992,control,train
C1832,control,train
C1212,control,train
C904,control,train
C1565,control,train
C912,control,train
C774,control,train
C02,control,train
C485,control,train
C1276,control,train
C638,control,train
C467,control,train
C628,control,train
C1151,control,train
C93,control,train
C1339,control,train
C1431,control,train
C1078,control,val
C735,control,val
C1002,control,val
C1746,control,val
C1988,control,val
C87,control,val
C102,control,val
C1561,control,val
C50,control,val
C1504,control,val
C731,control,val
C1234,control,val
C05,control,val
C280,control,val
C1766,control,val
C1269,control,val
C1943,control,val
C738,control,val
C460,control,val
C374,control,val
C629,control,val
C1599,control,val
C351,control,val
C1878,control,val
C204,control,val
C672,control,val
C364,control,val
C325,control,val
C495,control,val
C1816,control,val
C242,control,val
C96,control,val
C1658,control,val
C1637,control,val
C760,control,val
C1277,control,val
C1877,control,val
C1895,control,val
C315,control,val
C125,control,val
C518,control,val
C1885,control,val
C935,control,val
C1694,control,val
C1132,control,val
C1013,control,val
C522,control,val
C266,control,val
C891,control,val
C67,control,val
C517,control,val
C426,control,val
C43,control,val
C1350,control,val
C1378,control,val
C1601,control,val
C851,control,val
C1077,control,val
C1536,control,val
C1577,control,val
C1267,control,val
C1590,control,val
C1490,control,val
C915,control,val
C619,control,val
C509,control,val
C1984,control,val
C378,control,val
C612,control,val
C1780,control,val
C1584,control,val
C1411,control,val
C812,control,val
C239,control,val
C527,control,val
C942,control,val
C385,control,val
C1633,control,val
C790,control,val
C676,control,val
C1268,control,val
C1043,control,val
C66,control,val
C1145,control,val
C550,control,val
C391,control,val
C1970,control,val
C630,control,val
C549,control,val
C151,control,val
C314,control,val
C1575,control,val
C758,control,val
C1362,control,val
C1831,control,val
C1025,control,val
C972,control,val
C1010,control,val
C1178,control,val
C1969,control,val
C631,control,val
C245,control,val
C1083,control,val
C307,control,val
C1128,control,val
C584,control,val
C407,control,val
C1405,control,val
C1263,control,val
C1760,control,val
C643,control,val
C1475,control,val
C592,control,val
C114,control,val
C981,control,val
C978,control,val
C328,control,val
C1481,control,val
C1149,control,val
C1230,control,val
C1930,control,val
C933,control,val
C1638,control,val
C394,control,val
C263,control,val
C397,control,val
C932,control,val
C1500,control,val
C498,control,val
C1512,control,val
C611,control,val
C791,control,val
C581,control,val
C1449,control,val
C1460,control,val
C352,control,val
C1951,control,val
C711,control,val
C546,control,val
C1237,control,val
C1012,control,val
C765,control,val
C982,control,val
C121,control,val
C1447,control,val
C76,control,val
C26,control,val
C1737,control,val
C1568,control,val
C1730,control,val
C746,control,val
C1469,control,val
C1313,control,val
C72,control,val
C1435,control,val
C529,control,val
C1755,control,val
C1775,control,val
C1663,control,val
C843,control,val
C1167,control,val
C801,control,val
C1438,control,val
C470,control,val
C740,control,val
C965,control,val
C226,control,val
C455,control,val
C219,control,val
C783,control,val
C354,control,val
C1502,control,val
C88,control,val
C1292,control,val
C1964,control,val
C798,control,val
C1286,control,val
C938,control,val
C422,control,val
C1617,control,val
C1933,control,val
C1175,control,val
C1396,control,val
C1606,control,val
C1608,control,val
C1061,control,val
C90,control,val
C1147,control,val
C893,control,val
C604,control,val
C1657,control,val
C339,control,val
C1368,control,val
C333,control,val
C1825,control,val
C209,control,val
C845,control,val
C1741,control,val
C98,control,val
C697,control,val
C1312,control,val
C457,control,val
C1155,control,val
C844,control,val
C1692,control,val
C338,control,val
C1262,control,val
C1747,control,val
C1060,control,val
C974,control,val
C438,control,val
C789,control,val
C83,control,val
C132,control,val
C295,control,val
C1673,control,val
C1511,control,val
C784,control,val
C150,control,val
C113,control,val
C1874,control,val
C1533,control,val
C669,control,val
C1354,control,val
C99,control,val
C112,control,val
C15,control,val
C223,control,val
C1572,control,val
C759,control,val
C688,control,val
C875,control,val
C489,control,val
C1950,control,val
C437,control,val
C1745,control,val
C964,control,val
C1017,control,val
C165,control,val
C1837,control,val
C1586,control,val
C1179,control,val
C1007,control,val
C241,control,val
C1176,control,val
C1640,control,val
C362,control,val
C249,control,val
C412,control,val
C250,control,val
C1168,control,val
C157,control,val
C1560,control,val
C1635,control,val
C725,control,val
C1514,control,val
C559,control,val
C1513,control,val
C1162,control,val
C563,control,val
C876,control,val
C1813,control,val
C540,control,val
C1806,control,val
C1200,control,val
C1901,control,val
C665,control,val
C64,control,val
C1656,control,val
C1241,control,val
C1856,control,val
C869,control,val
C975,control,val
C988,control,val
C1604,control,val
C1995,control,val
C1427,control,val
C695,control,val
C74,control,val
C1068,control,val
C1116,control,val
C1799,control,val
C1029,control,val
C1751,control,val
C220,control,val
C281,control,val
C899,control,val
C1823,control,val
C600,control,val
C1203,control,val
C936,control,val
C826,control,val
C1119,control,val
C349,control,val
C1053,control,val
C1971,control,val
C1410,control,val
C1106,control,val
C1581,control,val
C1457,control,val
C708,control,test
C668,control,test
C1509,control,test
C1915,control,test
C1554,control,test
C949,control,test
C1047,control,test
C699,control,test
C25,control,test
C1443,control,test
C1758,control,test
C877,control,test
C865,control,test
C1321,control,test
C573,control,test
C94,control,test
C1463,control,test
C1596,control,test
C623,control,test
C1199,control,test
C355,control,test
C1734,control,test
C1913,control,test
C1569,control,test
C574,control,test
C867,control,test
C1440,control,test
C246,control,test
C1005,control,test
C1253,control,test
C234,control,test
C104,control,test
C14,control,test
C92,control,test
C570,control,test
C144,control,test
C928,control,test
C1360,control,test
C1538,control,test
C1272,control,test
C1131,control,test
C1636,control,test
C1704,control,test
C898,control,test
C916,control,test
C1631,control,test
C330,control,test
C689,control,test
C201,control,test
C392,control,test
C734,control,test
C1185,control,test
C1011,control,test
C756,control,test
C1754,control,test
C1461,control,test
C319,control,test
C138,control,test
C1493,control,test
C1835,control,test
C97,control,test
C343,control,test
C530,control,test
C1424,control,test
C1148,control,test
C1883,control,test
C348,control,test
C1858,control,test
C1528,control,test
C265,control,test
C1789,control,test
C811,control,test
C1437,control,test
C1301,control,test
C487,control,test
C548,control,test
C1381,control,test
C1382,control,test
C1614,control,test
C58,control,test
C989,control,test
C732,control,test
C588,control,test
C632,control,test
C122,control,test
C210,control,test
C233,control,test
C277,control,test
C168,control,test
C930,control,test
C417,control,test
C1612,control,test
C1297,control,test
C1579,control,test
C1723,control,test
C1625,control,test
C1456,control,test
C979,control,test
C1543,control,test
C1919,control,test
C1562,control,test
C1177,control,test
C1698,control,test
C1044,control,test
C1580,control,test
C1217,control,test
C1592,control,test
C1675,control,test
C474,control,test
C191,control,test
C1109,control,test
C1791,control,test
C205,control,test
C1777,control,test
C1499,control,test
C275,control,test
C68,control,test
C1820,control,test
C613,control,test
C415,control,test
C329,control,test
C459,control,test
C13,control,test
C1351,control,test
C1288,control,test
C388,control,test
C1115,control,test
C1602,control,test
C858,control,test
C706,control,test
C1849,control,test
C1139,control,test
C1507,control,test
C10,control,test
C1072,control,test
C779,control,test
C1409,control,test
C908,control,test
C820,control,test
C137,control,test
C906,control,test
C1482,control,test
C278,control,test
C943,control,test
C312,control,test
C962,control,test
C1452,control,test
C39,control,test
C287,control,test
C1459,control,test
C768,control,test
C1180,control,test
C1505,control,test
C1121,control,test
C406,control,test
C77,control,test
C680,control,test
C792,control,test
C1772,control,test
C1398,control,test
C847,control,test
C1852,control,test
C1323,control,test
