track_id,condition,frame,time_min,x_um,y_um
C02,control,25,25,186.86701676785202,3.881030550878009
C02,control,26,26,187.21125686389726,2.046005084911772
C02,control,27,27,187.12972524180066,7.038905151029026
C02,control,28,28,183.82119982652355,9.33329716099332
C02,control,29,29,186.6588024597491,10.715505877727963
C03,control,0,0,163.93091628744207,94.60097217259775
C03,control,1,1,161.88638717323155,97.71792056828122
C03,control,2,2,164.04728723880513,101.889054994739
C03,control,3,3,164.6841559722396,106.75974435345091
C03,control,4,4,163.837915191386,103.5787568849539
C03,control,5,5,157.72664759883673,100.27455301470152
C03,control,6,6,160.18215811709914,95.8797669506059
C03,control,7,7,158.82506536051588,102.19951882413123
C03,control,8,8,161.36545318796212,107.57247249557587
C03,control,9,9,158.39076662557372,100.19254758042688
C03,control,10,10,162.93990943687837,95.94171996810634
C03,control,11,11,163.21268005472555,96.59299966306526
C03,control,12,12,160.36599081763262,101.25089885882069
C03,control,13,13,165.0140034054522,102.9052313814812
C03,control,14,14,164.92553142594684,103.47954188028739
C03,control,15,15,161.63780738972844,102.76235060729864
C03,control,16,16,161.32300795010738,100.20565205397425
C03,control,17,17,163.87065255331692,95.92620787011536
C03,control,18,18,162.51039562440783,89.16757442644237
C03,control,19,19,164.000851137163,91.39539084888071
C03,control,20,20,165.8647282267268,100.14965067214129
C03,control,21,21,168.68410138801153,97.32367860532072
C03,control,22,22,176.67472200899414,94.56272468520237
C03,control,23,23,179.0409377161415,96.79210755954692
C03,control,24,24,176.40176865984716,100.97815344650067
C03,control,25,25,177.46554981608767,102.6910172184593
C03,control,26,26,175.438350827307,106.59891733570144
C03,control,27,27,172.85553693926303,101.26143933450571
C03,control,28,28,177.13091787872946,99.98125297368685
C03,control,29,29,177.26102813998466,105.74952383467503
C04,control,0,0,15.92586751512135,132.59226755376977
C04,control,1,1,19.135609001867245,130.40974148231209
C04,control,2,2,21.394874769590725,133.73955282643263
C04,control,3,3,23.66114153662669,133.12714893977784
C04,control,4,4,12.41889996223401,134.79905647346595
C04,control,5,5,12.763529295167421,133.69039564007028
C04,control,6,6,15.097825172067896,134.4875045799059
C04,control,7,7,15.709692396560238,130.03673165503892
C04,control,8,8,11.33172473512078,131.1483397369768
C04,control,9,9,11.55989607342303,131.56456241503236
C04,control,10,10,12.058684854727257,132.79893166720038
C04,control,11,11,12.166881845974236,133.27224424617637
C04,control,12,12,12.935224910557736,136.06047287774956
C04,control,13,13,11.391158463926473,138.41966154051096
C04,control,14,14,13.300308556004097,138.73586755947596
C04,control,15,15,11.87497321617616,139.8432873399613
C04,control,16,16,14.466892264052143,136.6183546853835
C04,control,17,17,14.653329155480334,136.81258697007124
C04,control,18,18,12.66972419312426,134.95472340877228
C04,control,19,19,8.016283091317296,131.6453411335249
C04,control,20,20,3.4038533220352107,129.7956245651669
C04,control,21,21,1.7238944068089999,128.17176887112717
C04,control,22,22,2.839423489901483,127.60906887733003
C04,control,23,23,0.6526852806434507,125.44341972102971
C04,control,24,24,2.74184544387424,124.85491542685162
C04,control,25,25,2.099681410392603,129.72378981011715
C04,control,26,26,6.702136317322907,134.1574958060273
C04,control,27,27,12.939863521273285,130.50629125965247
C04,control,28,28,14.95881623103205,132.78945047114803
C04,control,29,29,16.387463968890042,139.16946396157587
C05,control,0,0,147.9801404701678,70.9466910940729
C05,control,1,1,149.9395790710738,67.5794968183512
C05,control,2,2,146.57850278276123,69.68016595326864
C05,control,3,3,146.3516047166064,65.68848392180718
C05,control,4,4,145.97953205174477,66.76850736423057
C05,control,5,5,148.78731279210018,66.4454691269526
C05,control,6,6,147.97966108646003,66.46409258129022
C05,control,7,7,148.49861127863764,62.97469292209351
C05,control,8,8,150.9985365174788,69.54567173928359
C05,control,9,9,153.44113771579202,65.20107882721646
C05,control,10,10,153.72466326215977,59.90419433675861
C05,control,11,11,148.2370276661491,61.88194825304971
C05,control,12,12,148.46997491667003,59.820617676315365
C05,control,13,13,142.20763367405652,56.013821569221896
C05,control,14,14,142.69422196062536,56.109502762124706
C05,control,15,15,144.76332223542636,60.67968752073356
C05,control,16,16,143.74555266853534,62.08658898886581
C05,control,17,17,143.33215732621758,60.59697008311998
C05,control,18,18,142.59778508915298,63.47922971587964
C05,control,19,19,139.5125281793939,66.9023444358383
C05,control,20,20,143.94438978268747,67.00954305292929
C05,control,21,21,144.70914452863113,62.77414513197748
C05,control,22,22,151.79074817999484,65.71080222918604
C05,control,23,23,152.3075757701676,65.88311503934074
C05,control,24,24,153.66049137584136,63.92940723394533
C05,control,25,25,154.5102766687133,61.158676430222584
C05,control,26,26,156.00223544710573,59.12403661942782
C05,control,27,27,158.68879043326018,58.76292916329231
C05,control,28,28,159.49502867682517,67.64559349382175
C05,control,29,29,161.90772808854842,68.44899474623776
C06,control,0,0,105.15566001591392,19.50302992707085
C06,control,1,1,102.03817366177164,22.755693342878303
C06,control,2,2,106.8451912085878,22.948758705359175
C06,control,3,3,111.87544579260374,22.611925395352646
C06,control,4,4,106.5562827427225,20.65221052864728
C06,control,5,5,103.38530575348551,19.82859045774448
C06,control,6,6,105.26624818604088,17.04166974302941
C06,control,7,7,105.02551285458819,17.63972602609992
C06,control,8,8,102.82642812864954,14.911768743394848
C06,control,9,9,103.08797656144392,17.528877680238466
C06,control,10,10,101.27829233976931,15.274702778847093
C06,control,11,11,100.8545323205967,16.14454861075767
C06,control,12,12,99.22548175897153,15.142105292945239
C06,control,13,13,98.53167611137329,11.884730509780066
C06,control,14,14,97.99906478395982,10.204587101264448
C06,control,15,15,102.74923227330983,8.652619795770981
C06,control,16,16,104.12056527965666,9.791176319571308
C06,control,17,17,100.76646891749482,6.044327257706199
C06,control,18,18,99.43001202683209,8.0320496090731
C06,control,19,19,97.71029409038724,6.063586377491536
C06,control,20,20,89.00963187115967,4.873069700880966
C06,control,21,21,89.9470685216341,6.20713137880874
C06,control,22,22,91.23464530985778,5.223597927596031
C06,control,23,23,90.55317182225716,7.720426689809263
C06,control,24,24,90.1460391687372,0.8112966950166198
C06,control,25,25,93.20606821150065,2.421744689322452
C06,control,26,26,97.33193484081974,7.504185594879525
C06,control,27,27,99.61925386689448,10.216532698044178
C06,control,28,28,105.19264996591662,6.910159780939233
C06,control,29,29,105.954205479674,7.62735818683684
C07,control,0,0,71.90922378646832,47.25813673849246
C07,control,1,1,70.16714363427377,45.06439782410308
C07,control,2,2,70.97028638019712,48.15775061906489
C07,control,3,3,69.16714678106045,46.359048743463504
C07,control,4,4,70.67947411489115,42.08220524494581
C07,control,5,5,68.36171726775808,39.56749984532365
C07,control,6,6,67.05871445634436,39.14070064550127
C07,control,7,7,72.59133973846224,41.862783415486284
C07,control,8,8,72.65853438539897,41.18867774308563
C07,control,9,9,75.2815881821581,42.47387752952817
C07,control,10,10,77.95521505096207,46.61680276559301
C07,control,11,11,74.93066032641059,39.85823788912653
C07,control,12,12,74.86525284374224,40.09662199864409
C07,control,13,13,75.7255894205413,38.3001507039104
C07,control,14,14,75.02772858140926,39.97636079686331
C07,control,15,15,76.86540396173014,43.9692973255033
C07,control,16,16,70.36656571948996,39.023321868033
C07,control,17,17,74.75238931615742,40.84791748075198
C07,control,18,18,77.13269394649802,39.99341401816579
C07,control,19,19,75.71022776748259,40.59282523052327
C07,control,20,20,72.89086524503332,36.00234016927155
C07,control,21,21,69.55915551550946,36.35191871863293
C07,control,22,22,71.4707293844025,41.30569677077956
C07,control,23,23,72.58619354173135,42.72324779138354
C07,control,24,24,77.65061632793457,40.39328151529926
C07,control,25,25,74.7727422124117,38.779486546802836
C07,control,26,26,74.4840700214716,44.849193865985946
C07,control,27,27,73.43754861169121,48.770534067043336
C07,control,28,28,72.0195661809335,50.24478260773603
C07,control,29,29,74.06351696776089,51.843640227407214
C08,control,0,0,82.00468617601142,140.013211193784
C08,control,1,1,86.37312828394401,142.95618823233985
C08,control,2,2,84.26749223348224,144.47347770374074
C08,control,3,3,81.0480098937643,144.7581787228565
C08,control,4,4,77.53475072174724,146.9132783955662
C08,control,5,5,86.42786369178131,151.32579843602826
C08,control,6,6,88.62020195730979,148.6171838936879
C08,control,7,7,89.76097599486562,152.17085217925847
C08,control,8,8,89.49582689814343,152.5586878437446
C08,control,9,9,84.4127988591112,149.99242638816858
C08,control,10,10,78.86774087381119,155.7358337065308
C08,control,11,11,80.28563726154255,157.9099066372469
C08,control,12,12,79.67754133542131,153.5279108123447
C08,control,13,13,80.2054538369028,151.61844424603655
C08,control,14,14,77.29597483320043,151.7846770593217
C08,control,15,15,77.62542977831676,151.2431991640886
C08,control,16,16,75.3026234334827,148.2855956615722
C08,control,17,17,75.32158517738338,151.95305159589614
C08,control,18,18,70.50865481564371,149.98150561560144
C08,control,19,19,70.02157995598677,149.50529164602014
C08,control,20,20,68.24328968325341,155.29081129217727
C08,control,21,21,69.44268704334024,152.3346608712518
C08,control,22,22,63.79629436113159,151.81821124919242
C08,control,23,23,68.23470063112487,152.39651255439992
C08,control,24,24,61.286727697342755,148.2656824123772
C08,control,25,25,61.65547857280544,151.46851319690077
C08,control,26,26,62.07870197337762,151.9163931285391
C08,control,27,27,65.29769100774628,155.6851531021059
C08,control,28,28,63.26809943143298,156.9992904401245
C08,control,29,29,60.395949786134956,153.76958104805462
C09,control,0,0,32.76355859514941,174.24151489768212
C09,control,1,1,33.27315019706362,175.1841119895654
C09,control,2,2,35.857013025714885,171.73282442481747
C09,control,3,3,36.99946162981121,171.35653986586902
C09,control,4,4,41.45764235330853,169.1282831584232
C09,control,5,5,38.12758045716954,170.62894656854976
C09,control,6,6,35.56014385810395,166.7460534989847
C09,control,7,7,38.29035912814163,168.03721261989446
C09,control,8,8,28.956091700430157,165.27425796275668
C09,control,9,9,25.63198074023306,167.20729995163575
C09,control,10,10,30.049669542490488,173.38164583095661
C09,control,11,11,32.16804766924613,170.09361052832617
C09,control,12,12,28.774230878342095,167.2354034705551
C09,control,13,13,30.24244869553354,171.03166703880055
C09,control,14,14,24.48918057167722,172.85940177355045
C09,control,15,15,27.27274845216474,173.80731019660476
C09,control,16,16,36.981445604338184,175.41305675675707
C09,control,17,17,37.078921103927975,177.2446213860704
C09,control,18,18,35.44639082646508,173.94682652551748
C09,control,19,19,36.7129318443189,177.4077038621011
C09,control,20,20,36.008119643569486,180.18486367616083
C09,control,21,21,34.88079852669319,185.07903715196358
C09,control,22,22,35.52516743159491,186.6819787456946
C09,control,23,23,37.8236643050203,182.62574457195046
C09,control,24,24,37.27728201507569,188.14732679849214
C09,control,25,25,37.38675972549449,192.3551470564721
C09,control,26,26,40.03903224429058,186.87195995237437
C09,control,27,27,42.16114425751967,183.60709581291724
C09,control,28,28,42.94483714067081,182.3602917632399
C09,control,29,29,43.01012237981074,182.14765718722262
C10,control,0,0,178.81558324263375,71.15045476692094
C10,control,1,1,174.76266134029328,68.12059140496099
C10,control,2,2,177.51138111356624,73.29407260332967
C10,control,3,3,178.20909641346128,75.82096473217146
C10,control,4,4,181.1396579674512,71.72349368687624
C10,control,5,5,175.52170398528634,71.56972447450393
C10,control,6,6,169.8447695912535,70.75226844405395
C10,control,7,7,165.41009836321825,68.88015855925846
C10,control,8,8,163.15653776226125,70.44015091153938
C10,control,9,9,161.21480725818293,66.9968912115632
C10,control,10,10,161.36122240334674,75.8984431242507
C10,control,11,11,162.83954782270175,70.06366440464834
C10,control,12,12,163.11348962138686,77.77695616971884
C10,control,13,13,163.62091500832915,81.61895386266464
C10,control,14,14,166.95125780542907,85.18407823860791
C10,control,15,15,170.103642049278,86.03202714250682
C10,control,16,16,169.55069285175585,85.1963795747631
C10,control,17,17,169.91150702897946,86.47748192413133
C10,control,18,18,166.08448954452763,85.63610828909438
C10,control,19,19,165.96280367207834,85.95968575310636
C10,control,20,20,165.03374602754167,88.37889292509318
C10,control,21,21,164.72177476490668,87.25257592272817
C10,control,22,22,161.01119194587815,84.92037848801776
C10,control,23,23,161.70002919535702,85.27790564618743
C10,control,24,24,155.58391099301835,88.05081593938169
C10,control,25,25,153.47608539211558,85.34504408096024
C10,control,26,26,156.82021760017062,88.83509725042838
C10,control,27,27,154.68598939799014,87.7682436321878
C10,control,28,28,151.01383201968736,90.2109243116859
C10,control,29,29,153.72786486963457,88.89448598790638
C11,control,0,0,142.7285273269221,57.709847212755385
C11,control,1,1,142.3573966672554,59.87460162546853
C11,control,2,2,137.39337990450113,59.08621653735706
C11,control,3,3,138.1483496565233,59.05494695524815
C11,control,4,4,144.29819634652213,59.98654567684643
C11,control,5,5,145.39757928811247,56.002568137676455
C11,control,6,6,144.83511668345562,53.65200227821475
C11,control,7,7,151.8814148269156,52.405115556760705
C11,control,8,8,152.2385877842845,56.052539884199426
C11,control,9,9,154.2085845848577,51.818608219114
C11,control,10,10,156.1241469371731,53.94954595852976
C11,control,11,11,155.57920463798035,55.342432063905925
C11,control,12,12,155.8933977606499,51.18629706282402
C11,control,13,13,154.20290164160585,51.24844559670597
C11,control,14,14,152.44357827143386,52.8655822421971
C11,control,15,15,155.44948582665026,53.68584202310973
C11,control,16,16,154.33145140123702,57.774366992803266
C11,control,17,17,154.74403159893907,58.83493913157663
C11,control,18,18,152.45369629793794,58.1819949089261
C11,control,19,19,155.44800565369002,60.41317993253687
C11,control,20,20,154.88679857730466,60.43791239564176
C11,control,21,21,155.48372281625927,57.6143511691305
C11,control,22,22,154.92775142058957,56.079659968969054
C11,control,23,23,150.77045363391105,56.536178210237004
C11,control,24,24,150.33906158205738,52.14476002704099
C11,control,25,25,147.95403951730114,51.883491491447714
C11,control,26,26,139.2808801654626,52.43550163001467
C11,control,27,27,140.08105060552046,54.38219676712514
C11,control,28,28,138.29521637239858,50.11396051964822
C11,control,29,29,140.18007921425374,45.9890263069621
C12,control,0,0,184.2546872052678,15.962077726886603
C12,control,1,1,181.2181678579543,16.845089125174542
C12,control,2,2,184.58490129713,16.37426901542817
C12,control,3,3,183.8476833306543,11.308722465668652
C12,control,4,4,186.34130756316927,11.527303544126012
C12,control,5,5,185.5262546652282,15.452439604521055
C12,control,6,6,180.82396902840887,13.93859912772294
C12,control,7,7,180.8385196103195,13.051955288745095
C12,control,8,8,173.5288161209225,14.099963083356961
C12,control,9,9,173.43731613473827,17.132258718559093
C12,control,10,10,179.5569160806671,16.568577895183903
C12,control,11,11,180.71033406601424,17.327757659918092
C12,control,12,12,181.21969537931395,16.91283226937796
C12,control,13,13,182.37942559031544,20.297323475749074
C12,control,14,14,179.8322314241649,26.000109273885933
C12,control,15,15,181.35112356945325,26.909044848268355
C12,control,16,16,174.60373599140354,26.877165934835748
C12,control,17,17,171.67604583914107,28.600299272842136
C12,control,18,18,174.54275531166863,32.04994082119697
C12,control,19,19,174.0435458439363,31.826152751990875
C12,control,20,20,175.3549117921499,25.531952535416643
C12,control,21,21,174.05362509431993,23.903611511876697
C12,control,22,22,175.61607215967206,22.5314853803066
C12,control,23,23,177.84775426668256,21.952981305237664
C12,control,24,24,180.4136045934038,28.60798825542991
C12,control,25,25,185.0876544142074,31.449323299540062
C12,control,26,26,188.52183344797885,30.351507563501524
C12,control,27,27,186.20995060462118,27.813698202455107
C12,control,28,28,186.79720901857334,32.233901851771584
C12,control,29,29,184.60906812957407,33.63990248488059
C13,control,0,0,170.6723718320459,46.197920477152785
C13,control,1,1,173.24524014533637,44.137744942330635
C13,control,2,2,171.09896258495388,50.0641007635427
C13,control,3,3,171.30578041186044,49.93066218941528
C13,control,4,4,170.61696321466252,51.17668321198697
C13,control,5,5,168.49348172495584,51.34863336604544
C13,control,6,6,171.75358874248738,50.386715023092464
C13,control,7,7,164.61707368199495,48.42198515753041
C13,control,8,8,166.9213063612793,51.78467508751011
C13,control,9,9,168.01202912172903,56.06692278353711
C13,control,10,10,164.89317182584222,59.90351567083163
C13,control,11,11,165.52248109748834,61.93141624424049
C13,control,12,12,156.94123994542102,64.60886708062051
C13,control,13,13,157.64011488796314,70.33383030026614
C13,control,14,14,158.20470706550952,67.41391217554205
C13,control,15,15,155.79496905863564,68.63074464512094
C13,control,16,16,156.7183609230113,66.72833194084521
C13,control,17,17,153.51432128853364,71.2763954935052
C13,control,18,18,152.7982975754847,71.07084540057917
C13,control,19,19,151.19825783488682,75.26596684080356
C13,control,20,20,154.54463566361963,72.20103562150422
C13,control,21,21,154.3148938517198,69.4347025449464
C13,control,22,22,159.87793804872334,70.76453322877627
C13,control,23,23,159.03728907351604,69.7520394101248
C13,control,24,24,160.6697951674772,69.0139487921388
C13,control,25,25,165.29777535601693,66.23534724143639
C13,control,26,26,161.59381142155468,70.4667963836382
C13,control,27,27,160.3167331042695,74.72640591605317
C13,control,28,28,162.95634342660173,70.65212982958536
C13,control,29,29,161.12783081936703,70.80007959856663
C14,control,0,0,28.496325732960326,155.5364697613483
C14,control,1,1,26.658841061916956,155.28168321160345
C14,control,2,2,29.66329624388992,159.28043642092862
C14,control,3,3,27.293163512351835,158.58451824163436
C14,control,4,4,26.912802026356164,154.5349575209401
C14,control,5,5,29.726776944353826,156.22906870017266
C14,control,6,6,31.290937552931208,155.8982279211059
C14,control,7,7,33.90193685096017,158.78847192418857
C14,control,8,8,37.3820218233187,158.27822343305664
C14,control,9,9,38.43014551734264,157.1118671335289
C14,control,10,10,37.46133344029846,160.05628624639746
C14,control,11,11,37.622547531856775,159.59521044980733
C14,control,12,12,39.4321743266593,161.59171689073
C14,control,13,13,37.16930487396118,159.64861969846717
C14,control,14,14,39.30620389659191,161.22681193540677
C14,control,15,15,38.6774416225252,164.81437921084802
C14,control,16,16,38.38008821949925,159.0202861241724
C14,control,17,17,35.9924082372435,154.59603014976793
C14,control,18,18,39.42923306371363,156.1116670969747
C14,control,19,19,39.78535581716027,149.15890105263605
C14,control,20,20,35.35361023798466,148.70667485704448
C14,control,21,21,30.01298736366379,151.53205890138705
C14,control,22,22,29.704129524052668,151.10272246657883
C14,control,23,23,29.513899114599397,148.25227440268637
C14,control,24,24,26.384434339574312,142.55631603838822
C14,control,25,25,26.454860091985335,143.7750919031659
C14,control,26,26,25.742052906690056,142.92750051846954
C14,control,27,27,22.921786313391927,143.6795576406249
C14,control,28,28,15.567558485557496,140.36621787922994
C14,control,29,29,13.592313721491058,138.84075541140822
C15,control,0,0,102.97645469363816,2.861342021235358
C15,control,1,1,103.44285907430636,6.598661934139667
C15,control,2,2,107.55916654699614,8.541485566447673
C15,control,3,3,111.30497135654619,13.730410918611616
C15,control,4,4,112.41623240360556,9.535503298747038
C15,control,5,5,115.43207055211288,6.5507534376291545
C15,control,6,6,121.01763348625343,11.725889990199656
C15,control,7,7,119.46295470723581,8.426542638145806
C15,control,8,8,117.39698525193518,8.231299293665284
C15,control,9,9,121.24077905028592,4.52501492941871
C15,control,10,10,123.88648269753385,1.6839555949327405
C15,control,11,11,127.52757703621374,1.4980657987874642
C15,control,12,12,128.12680801970453,1.1796875488353318
C15,control,13,13,130.93403288544783,2.2936257508420788
C15,control,14,14,135.99783757382428,3.035128523752178
C15,control,15,15,133.28262227823254,1.0029473316547524
C15,control,16,16,135.43596787193894,4.059787095025911
C15,control,17,17,142.72903909273862,4.335246187255362
C15,control,18,18,146.39474533437564,1.4362548014425922
C15,control,19,19,146.98372038941295,3.30899995080952
C15,control,20,20,144.86470325709854,2.6257173053380707
C15,control,21,21,149.53683909164042,6.424900956976749
C15,control,22,22,151.27372878289702,12.338991299285166
C15,control,23,23,145.43632578822428,13.212691697860828
C15,control,24,24,144.29221706725966,17.483898156920176
C15,control,25,25,147.6218363106015,20.992220592039825
C15,control,26,26,145.83120116618193,22.67691791034485
C15,control,27,27,149.0719334850385,26.56887397166345
C15,control,28,28,146.29272809893357,24.519158964868343
C15,control,29,29,147.02834847579118,28.70374899402338
C16,control,0,0,143.58129745909363,98.86559455632396
C16,control,1,1,137.72390059083978,98.05068711070498
C16,control,2,2,139.22042597230995,98.85943987584561
C16,control,3,3,133.54647491639622,102.16207706352284
C16,control,4,4,134.58247709549218,100.76254089095268
C16,control,5,5,138.17574002112696,95.57474131135439
C16,control,6,6,136.64177052517664,98.22685479104764
C16,control,7,7,137.76974647576213,97.55279196204272
C16,control,8,8,137.30841779118856,96.85216230137242
C16,control,9,9,139.91014052805946,95.93924674919816
C16,control,10,10,141.94391390936514,89.67802496260904
C16,control,11,11,145.63217251187223,97.00269030061568
C16,control,12,12,147.13110788813034,96.74311776980505
C16,control,13,13,145.5258844602492,98.84242216812287
C16,control,14,14,143.57536262406998,96.38622050821752
C16,control,15,15,137.18864975873572,97.1140449642801
C16,control,16,16,136.31617234302712,96.4061424400144
C16,control,17,17,136.30924319886182,94.28178913187125
C16,control,18,18,136.8712979916586,91.04202262150113
C16,control,19,19,136.52512832604276,90.19777057652372
C16,control,20,20,131.40024079609168,86.56185847715611
C16,control,21,21,129.62276643423291,84.8745975828309
C16,control,22,22,130.40036297792992,83.65961741778132
C16,control,23,23,130.24687667536983,82.43318092813375
C16,control,24,24,122.47647116872345,82.06299285994518
C16,control,25,25,119.94996107537828,81.58345646636349
C16,control,26,26,117.65172588826935,83.55048643838481
C16,control,27,27,117.51398494594191,85.67530008308223
C16,control,28,28,119.85816042830344,83.97537568004432
C16,control,29,29,122.30398004916086,84.66158235620901
C17,control,0,0,122.09292355818333,163.47015297408177
C17,control,1,1,128.12219543970104,163.7523609345997
C17,control,2,2,131.93194853180697,162.70666106283568
C17,control,3,3,136.64454202868183,165.01629850071754
C17,control,4,4,130.30176890646436,161.90957063104668
C17,control,5,5,132.06141253835844,157.54356803522032
C17,control,6,6,133.48996019151065,161.69141471574812
C17,control,7,7,132.68547637314057,165.91449276742244
C17,control,8,8,136.65728004134684,165.74546622840404
C17,control,9,9,136.55720164937284,166.28918178945423
C17,control,10,10,137.89188561223355,161.61680701642229
C17,control,11,11,137.45713513477335,156.59704432768163
C17,control,12,12,136.42173545968566,155.9388283180252
C17,control,13,13,130.9694472261561,152.1482173683777
C17,control,14,14,129.77517765371266,158.62925268864416
C17,control,15,15,125.61496721430595,159.00290975143707
C17,control,16,16,122.93431857592249,157.87778169418698
C17,control,17,17,125.88984528507032,158.80920592508744
C17,control,18,18,127.16718108284118,160.27548212388456
C17,control,19,19,128.89367988237896,153.7907811122925
C17,control,20,20,130.0518185583597,153.53552617505682
C17,control,21,21,131.24417202922413,156.04465692684317
C17,control,22,22,132.4911604472425,158.11586197292718
C17,control,23,23,128.97678574327247,159.4592825123764
C17,control,24,24,128.64897746580033,159.19980304253315
C17,control,25,25,132.54938164585383,157.7337902483692
C17,control,26,26,130.5495650127956,153.79308648178122
C17,control,27,27,129.66276171610966,157.0051452448862
C17,control,28,28,124.6593928359241,157.75879929099014
C17,control,29,29,117.06110758630852,155.68802298365904
C18,control,0,0,70.63992775780903,132.9413379316462
C18,control,1,1,67.0338215464914,131.83663614956563
C18,control,2,2,70.00114735044487,136.31244118399295
C18,control,3,3,74.5377790712755,138.35930682212873
C18,control,4,4,75.61951691139342,141.31682174119132
C18,control,5,5,72.15040080053382,138.40921381933686
C18,control,6,6,76.0250688073446,140.97803367157303
C18,control,7,7,78.65031530044097,141.64351108366796
C18,control,8,8,76.17533064890698,138.403204537735
C18,control,9,9,78.9894713708912,141.65168437860044
C18,control,10,10,75.62805192033143,139.43314205792527
C18,control,11,11,75.31937246442165,142.0570555813641
C18,control,12,12,74.29775716691555,139.50037609634035
C18,control,13,13,77.26301397774665,141.29219700069663
C18,control,14,14,75.18024704439341,139.31413436450597
C18,control,15,15,78.51017539735312,135.47150991545354
C18,control,16,16,77.63154787866203,136.8194327154957
C18,control,17,17,78.12470644390825,139.6076769694823
C18,control,18,18,72.99166562976563,139.66050376248052
C18,control,19,19,73.89515157028063,140.66129367115124
C18,control,20,20,75.62589318912187,137.16069217036141
C18,control,21,21,79.96132797686977,138.5228210182707
C18,control,22,22,81.64321812494441,136.7922241642586
C18,control,23,23,82.18546832111315,140.78360697806875
C18,control,24,24,82.13992986085624,141.36967917748072
C18,control,25,25,83.09007822684681,136.47049876734297
C18,control,26,26,82.57239918194655,138.54954830355052
C18,control,27,27,81.10676269171206,138.4230405167636
C18,control,28,28,81.00852011106029,133.68320844670734
C18,control,29,29,83.42144346898748,129.62107612592223
C19,control,0,0,68.62504142060959,30.712999357497452
C19,control,1,1,67.60166986030181,30.913341741689198
C19,control,2,2,69.8627085062658,33.353719049998034
C19,control,3,3,68.57168447258253,32.86032801988031
C19,control,4,4,65.99339721275443,28.475831528728374
C19,control,5,5,68.84621536144554,25.184072747285096
C19,control,6,6,66.64031432488171,26.32228532139816
C19,control,7,7,62.59724076578311,27.76257253718645
C19,control,8,8,60.06600121402177,24.35328402536536
C19,control,9,9,58.32399919909317,21.800119076567366
C19,control,10,10,59.03216773228782,26.054524098440677
C19,control,11,11,61.054340825189264,27.449342468915717
C19,control,12,12,59.20840002548513,26.725945888331562
C19,control,13,13,59.48550264593483,26.49831443688291
C19,control,14,14,59.85929831432785,22.832945987469557
C19,control,15,15,65.07754316450416,18.72060419992948
C19,control,16,16,64.52264741960096,21.08011906486527
C19,control,17,17,62.159153431302215,24.10087506980455
