track_id,condition,frame_start,frame_end,time_min_start,time_min_end,step_distance_um,step_speed_um_min,is_arrested
C02,control,23,24,23,24,5.762619412410494,5.762619412410494,False
C02,control,24,25,24,25,1.4856577897320336,1.4856577897320336,True
C02,control,25,26,25,26,4.690082876968946,4.690082876968946,False
C02,control,26,27,26,27,1.603149011637058,1.603149011637058,True
C02,control,27,28,27,28,0.7011002926466606,0.7011002926466606,True
C02,control,28,29,28,29,4.85869124330395,4.85869124330395,False
C03,control,0,1,0,1,4.130630054945484,4.130630054945484,False
C03,control,1,2,1,2,2.724501736685705,2.724501736685705,False
C03,control,2,3,2,3,5.655945239919737,5.655945239919737,False
C03,control,3,4,3,4,3.3779320581717887,3.3779320581717887,False
C03,control,4,5,4,5,4.292429135534787,4.292429135534787,False
C03,control,5,6,5,6,2.0187116859784076,2.0187116859784076,False
C03,control,6,7,6,7,5.362093642898731,5.362093642898731,False
C03,control,7,8,7,8,2.6845341657689836,2.6845341657689836,False
C03,control,8,9,8,9,10.597063674517738,10.597063674517738,False
C03,control,9,10,9,10,3.2184294033672574,3.2184294033672574,False
C03,control,10,11,10,11,6.446364629173124,6.446364629173124,False
C03,control,11,12,11,12,2.738713913911954,2.738713913911954,False
C03,control,12,13,12,13,1.8842401879947708,1.8842401879947708,True
C03,control,13,14,13,14,3.2324608187417234,3.2324608187417234,False
C03,control,14,15,14,15,3.1431979519878066,3.1431979519878066,False
C03,control,15,16,15,16,5.231589159079522,5.231589159079522,False
C03,control,16,17,16,17,5.306243367857136,5.306243367857136,False
C03,control,17,18,17,18,2.9740100163310497,2.9740100163310497,False
C03,control,18,19,18,19,3.857523871425844,3.857523871425844,False
C03,control,19,20,19,20,3.621688678615985,3.621688678615985,False
C03,control,20,21,20,21,6.8443798337248145,6.8443798337248145,False
C03,control,21,22,21,22,3.6966301821247227,3.6966301821247227,False
C03,control,22,23,22,23,3.023927863159587,3.023927863159587,False
C03,control,23,24,23,24,0.48556475436052154,0.48556475436052154,True
C03,control,24,25,24,25,2.3768773664594525,2.3768773664594525,False
C03,control,25,26,25,26,3.921998865382623,3.921998865382623,False
C03,control,26,27,26,27,3.868617233432911,3.868617233432911,False
C03,control,27,28,27,28,4.76152692026113,4.76152692026113,False
C03,control,28,29,28,29,0.9284097751102299,0.9284097751102299,True
C04,control,0,1,0,1,3.5404269645651016,3.5404269645651016,False
C04,control,1,2,1,2,4.7834513642625485,4.7834513642625485,False
C04,control,2,3,2,3,3.71430927867338,3.71430927867338,False
C04,control,3,4,3,4,6.432480368187456,6.432480368187456,False
C04,control,4,5,4,5,5.198966818942881,5.198966818942881,False
C04,control,5,6,5,6,4.532534333202578,4.532534333202578,False
C04,control,6,7,6,7,4.270220044122605,4.270220044122605,False
C04,control,7,8,7,8,2.264120824904714,2.264120824904714,False
C04,control,8,9,8,9,0.49056939506162744,0.49056939506162744,True
C04,control,9,10,9,10,4.342194824431,4.342194824431,False
C04,control,10,11,10,11,1.9508370392237409,1.9508370392237409,True
C04,control,11,12,11,12,6.152252606874434,6.152252606874434,False
C04,control,12,13,12,13,4.446221214129655,4.446221214129655,False
C04,control,13,14,13,14,2.8187072353323366,2.8187072353323366,False
C04,control,14,15,14,15,4.8356753384507565,4.8356753384507565,False
C04,control,15,16,15,16,1.4554122978105235,1.4554122978105235,True
C04,control,16,17,16,17,3.1648121929753312,3.1648121929753312,False
C04,control,17,18,17,18,4.324791011366944,4.324791011366944,False
C04,control,18,19,18,19,2.1386615236955238,2.1386615236955238,False
C04,control,19,20,19,20,0.9900793771449619,0.9900793771449619,True
C04,control,20,21,20,21,3.2960098269056446,3.2960098269056446,False
C04,control,21,22,21,22,0.7365386217391972,0.7365386217391972,True
C04,control,22,23,22,23,9.420296758647764,9.420296758647764,False
C04,control,23,24,23,24,2.701022159463586,2.701022159463586,False
C04,control,24,25,24,25,4.734487873231613,4.734487873231613,False
C04,control,25,26,25,26,3.739412421718781,3.739412421718781,False
C04,control,26,27,26,27,2.938577422429249,2.938577422429249,False
C04,control,27,28,27,28,6.460324559221797,6.460324559221797,False
C04,control,28,29,28,29,3.561077703166493,3.561077703166493,False
C05,control,0,1,0,1,5.280762325861531,5.280762325861531,False
C05,control,1,2,1,2,7.757140913052085,7.757140913052085,False
C05,control,2,3,2,3,5.073811148527627,5.073811148527627,False
C05,control,3,4,3,4,10.311304433240002,10.311304433240002,False
C05,control,4,5,4,5,3.684234104881747,3.684234104881747,False
C05,control,5,6,5,6,5.286350504967036,5.286350504967036,False
C05,control,6,7,6,7,3.050644691632456,3.050644691632456,False
C05,control,7,8,7,8,2.6719800186344798,2.6719800186344798,False
C05,control,8,9,8,9,1.1977553096505633,1.1977553096505633,True
C05,control,9,10,9,10,4.1861183626039855,4.1861183626039855,False
C05,control,10,11,10,11,1.0600879078364454,1.0600879078364454,True
C05,control,11,12,11,12,2.185550750691446,2.185550750691446,False
C05,control,12,13,12,13,3.073721593127395,3.073721593127395,False
C05,control,13,14,13,14,1.0672499971582423,1.0672499971582423,True
C05,control,14,15,14,15,2.1646741154344245,2.1646741154344245,False
C05,control,15,16,15,16,0.9933275890294202,0.9933275890294202,True
C05,control,16,17,16,17,7.855647202356305,7.855647202356305,False
C05,control,17,18,17,18,2.565190988305198,2.565190988305198,False
C05,control,18,19,18,19,4.889430167130132,4.889430167130132,False
C05,control,19,20,19,20,1.6420029196755765,1.6420029196755765,True
C05,control,20,21,20,21,5.927351991167295,5.927351991167295,False
C05,control,21,22,21,22,3.5994426426946338,3.5994426426946338,False
C05,control,22,23,22,23,1.6207842765861786,1.6207842765861786,True
C05,control,23,24,23,24,0.8905340536400111,0.8905340536400111,True
C05,control,24,25,24,25,0.8172036385123107,0.8172036385123107,True
C05,control,25,26,25,26,4.438138745030507,4.438138745030507,False
C05,control,26,27,26,27,7.732690502135699,7.732690502135699,False
C05,control,27,28,27,28,1.0338866917930931,1.0338866917930931,True
C05,control,28,29,28,29,5.386977528401919,5.386977528401919,False
C06,control,0,1,0,1,5.2811331000713855,5.2811331000713855,False
C06,control,1,2,1,2,1.00259936094811,1.00259936094811,True
C06,control,2,3,2,3,3.3142277902440336,3.3142277902440336,False
C06,control,3,4,3,4,4.273924158545122,4.273924158545122,False
C06,control,4,5,4,5,6.283694796128783,6.283694796128783,False
C06,control,5,6,5,6,5.395085049242629,5.395085049242629,False
C06,control,6,7,6,7,2.8114968840481973,2.8114968840481973,False
C06,control,7,8,7,8,0.9118355579816311,0.9118355579816311,True
C06,control,8,9,8,9,3.6319536307936344,3.6319536307936344,False
C06,control,9,10,9,10,4.243140744630079,4.243140744630079,False
C06,control,10,11,10,11,3.559987109127127,3.559987109127127,False
C06,control,11,12,11,12,5.908215468847704,5.908215468847704,False
C06,control,12,13,12,13,5.200776858453721,5.200776858453721,False
C06,control,13,14,13,14,3.5217541483891277,3.5217541483891277,False
C06,control,14,15,14,15,4.792893526141077,4.792893526141077,False
C06,control,15,16,15,16,2.838058832420345,2.838058832420345,False
C06,control,16,17,16,17,3.0427418690591947,3.0427418690591947,False
C06,control,17,18,17,18,4.168216743531425,4.168216743531425,False
C06,control,18,19,18,19,3.5901061683460305,3.5901061683460305,False
C06,control,19,20,19,20,7.112340211244778,7.112340211244778,False
C06,control,20,21,20,21,0.9383237568766393,0.9383237568766393,True
C06,control,21,22,21,22,5.005092419776173,5.005092419776173,False
C06,control,22,23,22,23,6.4387265057077725,6.4387265057077725,False
C06,control,23,24,23,24,5.065125876057888,5.065125876057888,False
C06,control,24,25,24,25,4.56366187169177,4.56366187169177,False
C06,control,25,26,25,26,3.0633527363765642,3.0633527363765642,False
C06,control,26,27,26,27,4.029216460006273,4.029216460006273,False
C06,control,27,28,27,28,0.9912535280384042,0.9912535280384042,True
C06,control,28,29,28,29,2.7140476448579975,2.7140476448579975,False
C07,control,0,1,0,1,3.212437457664009,3.212437457664009,False
C07,control,1,2,1,2,3.1976761953964,3.1976761953964,False
C07,control,2,3,2,3,4.972796591804598,4.972796591804598,False
C07,control,3,4,3,4,2.5403161172744912,2.5403161172744912,False
C07,control,4,5,4,5,2.5333874835700656,2.5333874835700656,False
C07,control,5,6,5,6,4.743636749949507,4.743636749949507,False
C07,control,6,7,6,7,3.0234673966368413,3.0234673966368413,False
C07,control,7,8,7,8,7.010031559640934,7.010031559640934,False
C07,control,8,9,8,9,7.699974200040419,7.699974200040419,False
C07,control,9,10,9,10,1.4107241524581218,1.4107241524581218,True
C07,control,10,11,10,11,6.2080131844413255,6.2080131844413255,False
C07,control,11,12,11,12,6.0972457736546435,6.0972457736546435,False
C07,control,12,13,12,13,2.723122313148896,2.723122313148896,False
C07,control,13,14,13,14,1.7776115578065226,1.7776115578065226,True
C07,control,14,15,14,15,8.123568672430192,8.123568672430192,False
C07,control,15,16,15,16,1.4246902973779219,1.4246902973779219,True
C07,control,16,17,16,17,2.51673749636066,2.51673749636066,False
C07,control,17,18,17,18,2.3178043509290984,2.3178043509290984,False
C07,control,18,19,18,19,1.7325005094754795,1.7325005094754795,True
C07,control,19,20,19,20,2.1816099574488614,2.1816099574488614,False
C07,control,20,21,20,21,2.531381105380506,2.531381105380506,False
C07,control,21,22,21,22,1.9595475938004345,1.9595475938004345,True
C07,control,22,23,22,23,0.871996456119523,0.871996456119523,True
C07,control,23,24,23,24,6.476381964779685,6.476381964779685,False
C07,control,24,25,24,25,5.907573651568547,5.907573651568547,False
C07,control,25,26,25,26,7.290559759740941,7.290559759740941,False
C07,control,26,27,26,27,2.405263168981352,2.405263168981352,False
C07,control,27,28,27,28,3.3210903397678644,3.3210903397678644,False
C07,control,28,29,28,29,3.9884551744387564,3.9884551744387564,False
C08,control,0,1,0,1,4.070152175867691,4.070152175867691,False
C08,control,1,2,1,2,3.08073498952284,3.08073498952284,False
C08,control,2,3,2,3,5.179472073935119,5.179472073935119,False
C08,control,3,4,3,4,2.639189930790383,2.639189930790383,False
C08,control,4,5,4,5,6.621425147180076,6.621425147180076,False
C08,control,5,6,5,6,3.336675888100731,3.336675888100731,False
C08,control,6,7,6,7,1.4773927446876585,1.4773927446876585,True
C08,control,7,8,7,8,6.158373407735018,6.158373407735018,False
C08,control,8,9,8,9,2.4206771662718025,2.4206771662718025,False
C08,control,9,10,9,10,3.7619292189670444,3.7619292189670444,False
C08,control,10,11,10,11,1.4036142092223616,1.4036142092223616,True
C08,control,11,12,11,12,1.466647626684947,1.466647626684947,True
C08,control,12,13,12,13,4.093268374106601,4.093268374106601,False
C08,control,13,14,13,14,5.466319994155913,5.466319994155913,False
C08,control,14,15,14,15,3.4885249793779876,3.4885249793779876,False
C08,control,15,16,15,16,1.2155556608644527,1.2155556608644527,True
C08,control,16,17,16,17,5.945826410714106,5.945826410714106,False
C08,control,17,18,17,18,6.234417113076933,6.234417113076933,False
C08,control,18,19,18,19,3.2642893751282145,3.2642893751282145,False
C08,control,19,20,19,20,2.726665747596279,2.726665747596279,False
C08,control,20,21,20,21,0.9449154825289308,0.9449154825289308,True
C08,control,21,22,21,22,5.384334261784536,5.384334261784536,False
C08,control,22,23,22,23,7.064861515748379,7.064861515748379,False
C08,control,23,24,23,24,1.6331255038918986,1.6331255038918986,True
C08,control,24,25,24,25,6.692142646320559,6.692142646320559,False
C08,control,25,26,25,26,3.068987513243391,3.068987513243391,False
C08,control,26,27,26,27,1.4896910236874126,1.4896910236874126,True
C08,control,27,28,27,28,1.9389342990029508,1.9389342990029508,True
C08,control,28,29,28,29,3.3499085992451754,3.3499085992451754,False
C09,control,0,1,0,1,7.821704433992897,7.821704433992897,False
C09,control,1,2,1,2,4.308400850040906,4.308400850040906,False
C09,control,2,3,2,3,1.7506391091902411,1.7506391091902411,True
C09,control,3,4,3,4,2.393675824899307,2.393675824899307,False
C09,control,4,5,4,5,2.8622497439573653,2.8622497439573653,False
C09,control,5,6,5,6,3.8193800935961,3.8193800935961,False
C09,control,6,7,6,7,1.3951890515560343,1.3951890515560343,True
C09,control,7,8,7,8,1.6468983641248125,1.6468983641248125,True
C09,control,8,9,8,9,6.169576162379095,6.169576162379095,False
C09,control,9,10,9,10,6.056705568969471,6.056705568969471,False
C09,control,10,11,10,11,6.0710743375397405,6.0710743375397405,False
C09,control,11,12,11,12,3.4454421519330043,3.4454421519330043,False
C09,control,12,13,12,13,9.97063341981275,9.97063341981275,False
C09,control,13,14,13,14,7.4420538689195155,7.4420538689195155,False
C09,control,14,15,14,15,2.1260783748324292,2.1260783748324292,False
C09,control,15,16,15,16,4.886308957635373,4.886308957635373,False
C09,control,16,17,16,17,0.940570330592479,0.940570330592479,True
C09,control,17,18,17,18,2.3864385177746756,2.3864385177746756,False
C09,control,18,19,18,19,2.2558723337162716,2.2558723337162716,False
C09,control,19,20,19,20,3.3940182908621486,3.3940182908621486,False
C09,control,20,21,20,21,5.687849420328389,5.687849420328389,False
C09,control,21,22,21,22,4.811539289353977,4.811539289353977,False
C09,control,22,23,22,23,4.250405062886641,4.250405062886641,False
C09,control,23,24,23,24,4.56256061526025,4.56256061526025,False
C09,control,24,25,24,25,0.8693306660532506,0.8693306660532506,True
C09,control,25,26,25,26,4.817985397570102,4.817985397570102,False
C09,control,26,27,26,27,3.127664597341059,3.127664597341059,False
C09,control,27,28,27,28,4.88936266554038,4.88936266554038,False
C09,control,28,29,28,29,2.5039555027455096,2.5039555027455096,False
C10,control,0,1,0,1,5.58262885146682,5.58262885146682,False
C10,control,1,2,1,2,2.587651786261317,2.587651786261317,False
C10,control,2,3,2,3,0.931075389775201,0.931075389775201,True
C10,control,3,4,3,4,0.7748286244640644,0.7748286244640644,True
C10,control,4,5,4,5,3.694730337201415,3.694730337201415,False
C10,control,5,6,5,6,2.2992223936958807,2.2992223936958807,False
C10,control,6,7,6,7,1.891649528040496,1.891649528040496,True
C10,control,7,8,7,8,6.110808349071372,6.110808349071372,False
C10,control,8,9,8,9,2.441093045354424,2.441093045354424,False
C10,control,9,10,9,10,4.85061710103276,4.85061710103276,False
C10,control,10,11,10,11,2.674809791968941,2.674809791968941,False
C10,control,11,12,11,12,1.0145534425609688,1.0145534425609688,True
C10,control,12,13,12,13,3.5450512820836213,3.5450512820836213,False
C10,control,13,14,13,14,2.2693541235773345,2.2693541235773345,False
C10,control,14,15,14,15,2.5580567012452398,2.5580567012452398,False
C10,control,15,16,15,16,4.380828650093484,4.380828650093484,False
C10,control,16,17,16,17,0.8121309858136759,0.8121309858136759,True
C10,control,17,18,17,18,2.7585178998395934,2.7585178998395934,False
C10,control,18,19,18,19,5.925969609886348,5.925969609886348,False
C10,control,19,20,19,20,3.819724796893085,3.819724796893085,False
C10,control,20,21,20,21,7.311525588579224,7.311525588579224,False
C10,control,21,22,21,22,3.579247642723495,3.579247642723495,False
C10,control,22,23,22,23,3.8650334992416804,3.8650334992416804,False
C10,control,23,24,23,24,6.954318131020521,6.954318131020521,False
C10,control,24,25,24,25,2.609794625233168,2.609794625233168,False
C10,control,25,26,25,26,6.067046055142718,6.067046055142718,False
C10,control,26,27,26,27,5.514738112338738,5.514738112338738,False
C10,control,27,28,27,28,6.270966382217542,6.270966382217542,False
C10,control,28,29,28,29,2.013478004282454,2.013478004282454,False
C11,control,0,1,0,1,5.544839381739267,5.544839381739267,False
C11,control,1,2,1,2,4.197606684361401,4.197606684361401,False
C11,control,2,3,2,3,2.681847536891808,2.681847536891808,False
C11,control,3,4,3,4,2.806050986522924,2.806050986522924,False
C11,control,4,5,4,5,5.232426034547849,5.232426034547849,False
C11,control,5,6,5,6,3.4976374653137725,3.4976374653137725,False
C11,control,6,7,6,7,4.329130550240608,4.329130550240608,False
C11,control,7,8,7,8,2.765546467943679,2.765546467943679,False
C11,control,8,9,8,9,4.403659557648628,4.403659557648628,False
C11,control,9,10,9,10,1.979453532555229,1.979453532555229,True
C11,control,10,11,10,11,4.549818839946526,4.549818839946526,False
C11,control,11,12,11,12,0.8124703721563841,0.8124703721563841,True
C11,control,12,13,12,13,2.335293876989112,2.335293876989112,False
C11,control,13,14,13,14,2.021424654819673,2.021424654819673,False
C11,control,14,15,14,15,5.143591028497758,5.143591028497758,False
C11,control,15,16,15,16,8.703427045995355,8.703427045995355,False
C11,control,16,17,16,17,7.744019995270623,7.744019995270623,False
C11,control,17,18,17,18,5.884698552654251,5.884698552654251,False
C11,control,18,19,18,19,1.0305104471267148,1.0305104471267148,True
C11,control,19,20,19,20,3.765596426579572,3.765596426579572,False
C11,control,20,21,20,21,4.75133721066957,4.75133721066957,False
C11,control,21,22,21,22,6.505499622816923,6.505499622816923,False
C11,control,22,23,22,23,1.1358818548016587,1.1358818548016587,True
C11,control,23,24,23,24,1.8942946496846973,1.8942946496846973,True
C11,control,24,25,24,25,5.215384605569259,5.215384605569259,False
C11,control,25,26,25,26,5.665886900479465,5.665886900479465,False
C11,control,26,27,26,27,5.030871397754451,5.030871397754451,False
C11,control,27,28,27,28,3.7507401552770516,3.7507401552770516,False
C11,control,28,29,28,29,2.7776495149282803,2.7776495149282803,False
C12,control,0,1,0,1,5.167998458354398,5.167998458354398,False
C12,control,1,2,1,2,2.707781943583892,2.707781943583892,False
C12,control,2,3,2,3,1.055786409283211,1.055786409283211,True
C12,control,3,4,3,4,7.048149555928557,7.048149555928557,False
C12,control,4,5,4,5,2.133215746976924,2.133215746976924,False
C12,control,5,6,5,6,8.046430469860512,8.046430469860512,False
C12,control,6,7,6,7,2.292209181517128,2.292209181517128,False
C12,control,7,8,7,8,4.679054370134399,4.679054370134399,False
C12,control,8,9,8,9,7.224233900865378,7.224233900865378,False
C12,control,9,10,9,10,1.715182106420677,1.715182106420677,True
C12,control,10,11,10,11,2.5009777607622494,2.5009777607622494,False
C12,control,11,12,11,12,4.197370969188057,4.197370969188057,False
C12,control,12,13,12,13,2.0376985245436785,2.0376985245436785,False
C12,control,13,14,13,14,2.773835772964593,2.773835772964593,False
C12,control,14,15,14,15,4.701164223189017,4.701164223189017,False
C12,control,15,16,15,16,1.5848327991914286,1.5848327991914286,True
C12,control,16,17,16,17,2.949787087250609,2.949787087250609,False
C12,control,17,18,17,18,7.196212879724269,7.196212879724269,False
C12,control,18,19,18,19,7.34615859444893,7.34615859444893,False
C12,control,19,20,19,20,3.9868518796817214,3.9868518796817214,False
C12,control,20,21,20,21,3.392967052980969,3.392967052980969,False
C12,control,21,22,21,22,3.1786293961315164,3.1786293961315164,False
C12,control,22,23,22,23,3.152155130896758,3.152155130896758,False
C12,control,23,24,23,24,4.004345148688949,4.004345148688949,False
C12,control,24,25,24,25,1.802636045993376,1.802636045993376,True
C12,control,25,26,25,26,1.942885466687368,1.942885466687368,True
C12,control,26,27,26,27,3.7514620076640393,3.7514620076640393,False
C12,control,27,28,27,28,0.6331089072451865,0.6331089072451865,True
C12,control,28,29,28,29,5.9418588249060855,5.9418588249060855,False
C13,control,0,1,0,1,3.0803841090639703,3.0803841090639703,False
C13,control,1,2,1,2,7.633329873431807,7.633329873431807,False
C13,control,2,3,2,3,5.274923769567373,5.274923769567373,False
C13,control,3,4,3,4,4.46476110796422,4.46476110796422,False
C13,control,4,5,4,5,4.122946036647371,4.122946036647371,False
C13,control,5,6,5,6,3.617330411798834,3.617330411798834,False
C13,control,6,7,6,7,1.6554732558302931,1.6554732558302931,True
C13,control,7,8,7,8,1.0066076696604385,1.0066076696604385,True
C13,control,8,9,8,9,2.3810320889935266,2.3810320889935266,False
C13,control,9,10,9,10,5.429293582785478,5.429293582785478,False
C13,control,10,11,10,11,7.381286352246326,7.381286352246326,False
C13,control,11,12,11,12,4.698005981916314,4.698005981916314,False
C13,control,12,13,12,13,5.587410913555045,5.587410913555045,False
C13,control,13,14,13,14,6.072911397055898,6.072911397055898,False
C13,control,14,15,14,15,1.9085670984552592,1.9085670984552592,True
C13,control,15,16,15,16,2.6796120901431664,2.6796120901431664,False
C13,control,16,17,16,17,3.1747913232352576,3.1747913232352576,False
C13,control,17,18,17,18,8.152179675786668,8.152179675786668,False
C13,control,18,19,18,19,4.387157234357949,4.387157234357949,False
C13,control,19,20,19,20,3.2033763278516822,3.2033763278516822,False
C13,control,20,21,20,21,3.9771332869819487,3.9771332869819487,False
C13,control,21,22,21,22,2.9260652815727477,2.9260652815727477,False
C13,control,22,23,22,23,2.1670476640128515,2.1670476640128515,False
C13,control,23,24,23,24,5.356710774313714,5.356710774313714,False
C13,control,24,25,24,25,4.186416289318605,4.186416289318605,False
C13,control,25,26,25,26,7.236116932986107,7.236116932986107,False
C13,control,26,27,26,27,4.148919227425485,4.148919227425485,False
C13,control,27,28,27,28,4.052036706225524,4.052036706225524,False
C13,control,28,29,28,29,3.3363539023662336,3.3363539023662336,False
C14,control,0,1,0,1,3.910973425602001,3.910973425602001,False
C14,control,1,2,1,2,5.397985416860142,5.397985416860142,False
C14,control,2,3,2,3,2.68285971953497,2.68285971953497,False
C14,control,3,4,3,4,0.7580558944175512,0.7580558944175512,True
C14,control,4,5,4,5,3.3038469253043754,3.3038469253043754,False
C14,control,5,6,5,6,2.283706089840896,2.283706089840896,False
C14,control,6,7,6,7,4.052373405163637,4.052373405163637,False
C14,control,7,8,7,8,5.487140046292425,5.487140046292425,False
C14,control,8,9,8,9,3.0096934946009033,3.0096934946009033,False
C14,control,9,10,9,10,4.423648428091953,4.423648428091953,False
C14,control,10,11,10,11,2.5378224122157578,2.5378224122157578,False
C14,control,11,12,11,12,3.411510105386933,3.411510105386933,False
C14,control,12,13,12,13,4.026123770870607,4.026123770870607,False
C14,control,13,14,13,14,3.3236962615396424,3.3236962615396424,False
C14,control,14,15,14,15,3.853426475648704,3.853426475648704,False
C14,control,15,16,15,16,0.8900804854580918,0.8900804854580918,True
C14,control,16,17,16,17,1.892408774059946,1.892408774059946,True
C14,control,17,18,17,18,2.4157739331080395,2.4157739331080395,False
C14,control,18,19,18,19,1.525584518232661,1.525584518232661,True
C14,control,19,20,19,20,1.0991116946833368,1.0991116946833368,True
C14,control,20,21,20,21,3.7106634461306367,3.7106634461306367,False
C14,control,21,22,21,22,5.546051019045045,5.546051019045045,False
C14,control,22,23,22,23,8.456964046216273,8.456964046216273,False
C14,control,23,24,23,24,0.12739467663852577,0.12739467663852577,True
C14,control,24,25,24,25,3.659617915286385,3.659617915286385,False
C14,control,25,26,25,26,8.106001965045563,8.106001965045563,False
C14,control,26,27,26,27,5.778391506760503,5.778391506760503,False
C14,control,27,28,27,28,2.5298009860136728,2.5298009860136728,False
C14,control,28,29,28,29,2.855996448615696,2.855996448615696,False
C15,control,0,1,0,1,5.803359909499628,5.803359909499628,False
C15,control,1,2,1,2,5.26215555885787,5.26215555885787,False
C15,control,2,3,2,3,0.48262524401025586,0.48262524401025586,True
C15,control,3,4,3,4,9.59938231058846,9.59938231058846,False
C15,control,4,5,4,5,3.320269899781725,3.320269899781725,False
C15,control,5,6,5,6,3.1030496156891196,3.1030496156891196,False
C15,control,6,7,6,7,3.0965634267112945,3.0965634267112945,False
C15,control,7,8,7,8,0.8409147907002814,0.8409147907002814,True
C15,control,8,9,8,9,1.0106206449083617,1.0106206449083617,True
C15,control,9,10,9,10,5.949111884256464,5.949111884256464,False
C15,control,10,11,10,11,3.560636371654612,3.560636371654612,False
C15,control,11,12,11,12,4.330444322306996,4.330444322306996,False
C15,control,12,13,12,13,2.0957176534440793,2.0957176534440793,False
C15,control,13,14,13,14,4.735866671596309,4.735866671596309,False
C15,control,14,15,14,15,2.137552038058532,2.137552038058532,False
C15,control,15,16,15,16,0.8481868703802067,0.8481868703802067,True
C15,control,16,17,16,17,3.7234261578385164,3.7234261578385164,False
C15,control,17,18,17,18,5.67898488416116,5.67898488416116,False
C15,control,18,19,18,19,5.875890550237741,5.875890550237741,False
C15,control,19,20,19,20,0.7319156227280422,0.7319156227280422,True
C15,control,20,21,20,21,0.6818667990596882,0.6818667990596882,True
C15,control,21,22,21,22,4.38102099458539,4.38102099458539,False
C15,control,22,23,22,23,4.808312620361699,4.808312620361699,False
C15,control,23,24,23,24,3.834097200841266,3.834097200841266,False
C15,control,24,25,24,25,7.615838915788791,7.615838915788791,False
C15,control,25,26,25,26,5.6901561240605965,5.6901561240605965,False
C15,control,26,27,26,27,2.0737851974972896,2.0737851974972896,False
C15,control,27,28,27,28,0.9423738644961868,0.9423738644961868,True
C15,control,28,29,28,29,3.7447319186458334,3.7447319186458334,False
I01,injury,0,1,0,1,5.531870177864364,5.531870177864364,False
